step,SARSA,Q_learning,double_Q_learning,QV_learning
355,0,0,0,0
356,82.0525,95.906,91.242,97.605
356,0,0,0,0
357,61.638,95.712,89.617,97.527
357,0,0,0,0
358,69.968,95.617,92.713,97.513
358,0,0,0,0
359,44.504,95.192,90.522,97.546
359,0,0,0,0
360,85.854,95.278,88.804,97.622
360,0,0,0,0
361,52.707,95.367,89.064,97.626
361,0,0,0,0
362,57.8875,95.152,89.582,97.512
362,0,0,0,0
363,67.696,95.493,89.41,97.527
363,0,0,0,0
364,77.879,96.232,92.15,97.603
364,0,0,0,0
365,68.981,95.668,91.559,97.612
365,0,0,0,0
366,50.5015,94.685,90.077,97.55
366,0,0,0,0
367,43.792,95.972,91.099,97.564
367,0,0,0,0
368,88.1555,95.675,91.179,97.726
368,0,0,0,0
369,69.578,95.937,89.124,97.585
369,0,0,0,0
370,83.405,95.887,87.829,97.538
370,0,0,0,0
371,79.5535,95.948,91.475,97.583
371,0,0,0,0
372,86.7095,95.427,92.321,97.422
372,0,0,0,0
373,67.352,95.944,91.558,97.595
373,0,0,0,0
374,83.0795,95.836,89.292,97.604
374,0,0,0,0
375,71.2995,95.867,89.878,97.687
375,0,0,0,0
376,86.831,95.735,89.054,97.597
376,0,0,0,0
377,86.7775,96.441,90.851,97.603
377,0,0,0,0
378,70.057,96.335,92.427,97.477
378,0,0,0,0
379,88.0125,96.347,89.459,97.571
379,0,0,0,0
380,64.899,95.882,93.316,97.569
380,0,0,0,0
381,33.4075,96.074,90.007,97.572
381,0,0,0,0
382,85.1445,96.535,92.079,97.378
382,0,0,0,0
383,85.6535,95.765,88.041,97.641
383,0,0,0,0
384,67.079,95.784,91.67,97.457
384,0,0,0,0
385,45.8405,96.587,91.543,97.521
385,0,0,0,0
386,5.461,96.208,91.048,97.542
386,0,0,0,0
387,59.957,95.107,90.621,97.62
387,0,0,0,0
388,83.4855,96.003,90.859,97.673
388,0,0,0,0
389,80.987,96.548,92.394,97.616
389,0,0,0,0
390,63.7495,96.181,89.046,97.608
390,0,0,0,0
391,59.3415,96.445,91.031,97.611
391,0,0,0,0
392,76.2945,96.284,91.579,97.448
392,0,0,0,0
393,79.4335,96.064,90.468,97.622
393,0,0,0,0
394,66.0955,96.033,88.372,97.734
394,0,0,0,0
395,79.5865,96.22,92.804,97.594
395,0,0,0,0
396,46.0785,96.703,90.453,97.512
396,0,0,0,0
397,76.2765,96.325,91.364,97.565
397,0,0,0,0
398,84.4835,96.276,89.925,97.72
398,0,0,0,0
399,83.6685,96.037,91.297,97.703
399,0,0,0,0
400,69.9345,96.047,88.959,97.54
400,0,0,0,0
401,90.9145,96.409,91.99,97.583
401,0,0,0,0
402,71.877,96.333,88.477,97.612
402,0,0,0,0
403,38.831,95.685,92.273,97.615
403,0,0,0,0
404,-0.445,96.681,89.163,97.673
404,0,0,0,0
405,55.3075,96.281,93.109,97.602
405,0,0,0,0
406,83.9375,96.491,92.296,97.69
406,0,0,0,0
407,88.2155,96.409,93.672,97.674
407,0,0,0,0
408,59.344,96.332,91.426,97.629
408,0,0,0,0
409,81.485,96.21,89.633,97.655
409,0,0,0,0
410,82.9475,96.302,91.509,97.416
410,0,0,0,0
411,83.193,96.629,92.577,97.494
