step,SARSA,Q_learning,double_Q_learning,QV_learning
271,66.1747,92.6185,89.9995,97.431
271,0,0,0,0
272,17.706,92.665,86.743,97.4015
272,0,0,0,0
273,78.275,92.827,89.9925,97.4865
273,0,0,0,0
274,79.1267,93.6995,86.7735,97.431
274,0,0,0,0
275,57.5845,92.6765,86.7005,97.438
275,0,0,0,0
276,-14.0427,93.2095,87.438,97.4555
276,0,0,0,0
277,80.0972,93.046,86.688,97.498
277,0,0,0,0
278,57.475,93.9465,87.474,97.5225
278,0,0,0,0
279,63.1028,93.444,87.501,97.3755
279,0,0,0,0
280,65.5793,94.7425,86.666,97.5065
280,0,0,0,0
281,57.7552,92.13,87.6675,97.353
281,0,0,0,0
282,51.864,93.116,85.927,97.5155
282,0,0,0,0
283,81.4127,93.6885,87.3365,97.5205
283,0,0,0,0
284,72.3883,94.308,89.9355,97.5595
284,0,0,0,0
285,61.118,93.184,89.1625,97.4505
285,0,0,0,0
286,78.4038,93.8785,86.5795,97.4645
286,0,0,0,0
287,75.408,93.11,88.4375,97.5145
287,0,0,0,0
288,77.6532,93.892,86.2215,97.625
288,0,0,0,0
289,66.9552,94.003,87.559,97.5235
289,0,0,0,0
290,56.163,94.719,86.8795,97.5545
290,0,0,0,0
291,69.9178,93.7155,86.5735,97.5245
291,0,0,0,0
292,71.8998,93.7435,87.821,97.588
292,0,0,0,0
293,49.7222,94.3035,90.238,97.409
293,0,0,0,0
294,64.733,93.822,89.326,97.5035
294,0,0,0,0
295,71.742,94.1245,87.8935,97.5495
295,0,0,0,0
296,81.6875,93.9305,90.0005,97.3815
296,0,0,0,0
297,70.6445,93.843,88.742,97.521
297,0,0,0,0
298,70.9325,94.518,88.4825,97.648
298,0,0,0,0
299,81.115,94.1145,88.0325,97.491
299,0,0,0,0
300,80.0767,95.19,88.4395,97.4535
300,0,0,0,0
301,79.63,93.917,89.711,97.4405
301,0,0,0,0
302,64.667,95.034,87.2735,97.5015
302,0,0,0,0
303,76.4523,94.115,88.718,97.5185
303,0,0,0,0
304,81.6682,94.3685,88.805,97.656
304,0,0,0,0
305,68.9808,94.2955,89.1915,97.616
305,0,0,0,0
306,22.4877,94.4255,88.0665,97.548
306,0,0,0,0
307,82.213,94.3925,88.863,97.549
307,0,0,0,0
308,83.755,94.7105,88.2265,97.534
308,0,0,0,0
309,82.8955,95.5325,88.1355,97.46
309,0,0,0,0
310,81.9817,94.529,91.0315,97.6435
310,0,0,0,0
311,64.46,94.785,88.0965,97.4515
311,0,0,0,0
312,55.0227,94.9585,88.51,97.5765
312,0,0,0,0
313,48.6127,94.3685,88.6915,97.536
313,0,0,0,0
314,45.6617,94.602,88.493,97.622
314,0,0,0,0
315,11.601,94.2695,88.963,97.526
315,0,0,0,0
316,70.3613,94.934,88.445,97.4165
316,0,0,0,0
317,65.5982,95.102,86.8875,97.6335
317,0,0,0,0
318,85.5063,94.7915,90.061,97.565
318,0,0,0,0
319,39.4172,94.956,86.9005,97.5725
319,0,0,0,0
320,76.5965,94.4405,87.792,97.5095
320,0,0,0,0
321,86.437,94.316,90.6725,97.545
321,0,0,0,0
322,69.6145,94.7435,87.67,97.485
322,0,0,0,0
323,43.3642,95.0605,88.5755,97.6225
323,0,0,0,0
324,79.3078,95.284,89.626,97.5485
324,0,0,0,0
325,73.0833,95.152,89.3525,97.5865
325,0,0,0,0
326,85.5353,94.555,88.9085,97.6365
326,0,0,0,0
327,70.531,95.043,87.788,97.568
327,0,0,0,0
328,75.1098,95.4765,90.741,97.5675
328,0,0,0,0
329,79.109,95.459,86.89,97.5855
329,0,0,0,0
330,80.0363,94.5785,88.5165,97.615
330,0,0,0,0
331,37.7795,95.047,90.69,97.4095
331,0,0,0,0
332,73.1103,94.618,87.031,97.61
332,0,0,0,0
333,55.9335,95.197,90.199,97.6115
333,0,0,0,0
334,69.7833,95.624,89.6365,97.5965
334,0,0,0,0
335,84.601,94.613,90.207,97.596
335,0,0,0,0
336,71.0813,95.625,88.1145,97.6885
336,0,0,0,0
337,88.3365,94.3905,88.7365,97.5395
337,0,0,0,0
338,85.1985,95.2625,89.8585,97.6305
338,0,0,0,0
339,58.9557,95.145,88.7615,97.486
339,0,0,0,0
340,61.808,95.235,88.7585,97.548
340,0,0,0,0
341,83.6527,95.6655,88.7155,97.543
341,0,0,0,0
342,86.628,95.292,91.3395,97.4665
342,0,0,0,0
343,81.4312,95.0705,90.6685,97.5755
343,0,0,0,0
344,64.7258,95.087,88.403,97.588
344,0,0,0,0
345,86.2028,95.1595,87.7535,97.5295
345,0,0,0,0
346,74.686,94.998,89.131,97.5
346,0,0,0,0
347,81.4148,95.314,90.1905,97.5575
347,0,0,0,0
348,71.3823,95.594,88.4295,97.643
348,0,0,0,0
349,51.8607,94.6805,88.975,97.5555
349,0,0,0,0
350,26.0035,95.088,90.082,97.575
350,0,0,0,0
351,61.072,95.502,89.339,97.5205
351,0,0,0,0
352,78.3455,95.6905,91.4795,97.5355
352,0,0,0,0
353,62.1272,95.895,90.425,97.5125
353,0,0,0,0
354,85.731,95.6455,90.188,97.608
354,0,0,0,0
355,81.5392,95.5395,90.729,97.6525
355,0,0,0,0
356,86.7533,95.776,89.195,97.5865
356,0,0,0,0
357,57.2017,96.1325,88.9635,97.5185
357,0,0,0,0
358,86.053,95.62,91.117,97.5235
358,0,0,0,0
359,77.2855,94.977,90.8405,97.4995
359,0,0,0,0
360,43.236,95.641,89.2915,97.4775
360,0,0,0,0
361,64.345,95.695,88.898,97.5835
361,0,0,0,0
362,76.3455,95.794,89.334,97.6795
362,0,0,0,0
363,69.78,95.355,89.355,97.457
363,0,0,0,0
364,74.073,95.7465,89.982,97.5595
364,0,0,0,0
365,62.5105,94.8835,90.8025,97.5875
365,0,0,0,0
366,78.8258,95.655,90.5125,97.5745
366,0,0,0,0
367,73.6763,96.3255,89.481,97.505
367,0,0,0,0
368,74.0053,95.955,89.653,97.5365
368,0,0,0,0
369,78.5468,95.819,89.2065,97.463
369,0,0,0,0
370,86.2877,95.9895,89.747,97.6265
370,0,0,0,0
371,72.0738,96.1235,91.9995,97.551
371,0,0,0,0
372,46.0975,95.745,91.0485,97.543
372,0,0,0,0
373,72.5153,96.29,91.2445,97.603
373,0,0,0,0
374,74.0045,96.1665,89.151,97.6515
374,0,0,0,0
375,85.095,96.2735,88.58,97.477
375,0,0,0,0
376,69.8803,96.5675,90.618,97.632
376,0,0,0,0
377,83.1102,95.732,89.774,97.551
377,0,0,0,0
378,63.1905,96.216,89.8655,97.574
378,0,0,0,0
379,85.0265,95.5555,92.413,97.6585
379,0,0,0,0
380,36.4632,95.9945,90.81,97.467
380,0,0,0,0
381,81.884,96.1005,90.3635,97.535
381,0,0,0,0
382,82.0338,96.169,91.879,97.603
382,0,0,0,0
383,72.0078,95.952,91.959,97.5945
383,0,0,0,0
384,-0.90675,96.2695,90.289,97.5395
384,0,0,0,0
385,80.755,96.347,91.035,97.6315
385,0,0,0,0
386,87.2927,96.114,90.116,97.6235
386,0,0,0,0
387,57.3937,96.135,89.9565,97.6325
387,0,0,0,0
388,58.44,95.636,90.438,97.593
388,0,0,0,0
389,41.9557,95.847,89.874,97.6065
389,0,0,0,0
390,87.0402,96.347,90.259,97.589
390,0,0,0,0
391,79.9778,96.2905,89.667,97.6495
391,0,0,0,0
392,46.2585,96.212,91.121,97.482
392,0,0,0,0
393,89.605,96.1015,89.388,97.67
393,0,0,0,0
394,60.9027,96.0265,90.004,97.535
394,0,0,0,0
395,70.5468,96.2005,90.2945,97.5025
395,0,0,0,0
396,83.2238,96.199,91.211,97.619
396,0,0,0,0
397,38.3982,95.8245,88.3135,97.6575
397,0,0,0,0
398,76.9345,95.9285,89.554,97.6345
398,0,0,0,0
399,74.6615,96.059,90.21,97.52
399,0,0,0,0
400,67.9722,96.8475,91.346,97.5615
400,0,0,0,0
401,76.7198,96.454,90.0385,97.579
401,0,0,0,0
402,66.518,96.6425,89.7925,97.5185
402,0,0,0,0
403,86.222,96.6505,90.206,97.53
403,0,0,0,0
404,87.798,96.06,89.314,97.6865
404,0,0,0,0
405,82.1618,96.5435,91.407,97.642
405,0,0,0,0
406,85.57,96.6315,88.4965,97.467
406,0,0,0,0
407,78.414,96.8475,91.4095,97.57
407,0,0,0,0
408,86.5282,95.8615,90.8475,97.5195
408,0,0,0,0
409,81.324,96.2475,91.597,97.608
409,0,0,0,0
410,89.1095,96.016,90.9275,97.618
410,0,0,0,0
411,66.352,96.26,92.191,97.6675
411,0,0,0,0
412,84.1505,96.38,92.3295,97.6015
412,0,0,0,0
413,63.6275,96.6855,91.105,97.6315
413,0,0,0,0
414,76.2297,96.72,91.724,97.591
414,0,0,0,0
415,69.6382,95.9655,90.436,97.593
415,0,0,0,0
416,75.1775,96.167,90.9615,97.5105
416,0,0,0,0
417,87.5057,96.3585,93.315,97.5685
417,0,0,0,0
418,72.5015,96.6085,90.883,97.6605
418,0,0,0,0
419,89.4473,96.011,90.507,97.5825
419,0,0,0,0
420,11.5663,96.1895,91.7795,97.638
420,0,0,0,0
421,81.816,96.6005,91.2145,97.57
421,0,0,0,0
422,82.1933,96.4055,92.805,97.5485
422,0,0,0,0
423,76.7855,96.9825,92.5435,97.614
423,0,0,0,0
424,47.6695,96.9385,91.0155,97.602
424,0,0,0,0
425,87.069,96.7045,90.712,97.4085
425,0,0,0,0
426,74.0645,96.672,91.815,97.5635
426,0,0,0,0
427,90.5488,96.513,92.043,97.584
427,0,0,0,0
428,72.313,96.3135,92.0735,97.543
428,0,0,0,0
429,86.7418,96.502,91.701,97.537
429,0,0,0,0
430,85.5375,96.584,91.885,97.55
430,0,0,0,0
431,84.6652,96.6115,91.768,97.588
431,0,0,0,0
432,24.5072,96.494,90.655,97.584
432,0,0,0,0
433,69.455,96.5255,90.904,97.6385
433,0,0,0,0
434,74.6543,96.7675,91.194,97.658
434,0,0,0,0
435,53.2872,96.711,92.416,97.5895
435,0,0,0,0
436,73.3495,96.8165,90.906,97.592
436,0,0,0,0
437,87.7708,96.801,91.0255,97.6635
437,0,0,0,0
438,87.0367,96.392,92.588,97.5775
438,0,0,0,0
439,74.4065,96.9475,90.9375,97.5895
439,0,0,0,0
440,74.8532,96.8395,90.296,97.596
440,0,0,0,0
441,49.9055,96.936,90.566,97.6185
441,0,0,0,0
442,81.0228,96.842,92.344,97.6325
442,0,0,0,0
443,70.3013,97.048,93.161,97.471
443,0,0,0,0
444,75.479,96.719,91.2015,97.578
444,0,0,0,0
445,48.5922,96.723,92.9005,97.5315
445,0,0,0,0
446,85.0172,96.8585,90.9705,97.562
446,0,0,0,0
447,84.2445,96.6785,92.884,97.5915
447,0,0,0,0
448,78.9058,96.8035,92.0175,97.569
448,0,0,0,0
449,83.7788,96.6095,91.3445,97.5955
449,0,0,0,0
450,84.1505,96.9885,91.7045,97.589
450,0,0,0,0
451,43.7755,97.0085,93.759,97.5375
451,0,0,0,0
452,63.0225,96.5855,91.6625,97.5705
452,0,0,0,0
453,42.4045,96.8795,93.0295,97.6335
453,0,0,0,0
454,79.2225,97.136,92.4425,97.663
454,0,0,0,0
455,51.1942,96.658,91.9145,97.602
