step,SARSA,Q_learning,double_Q_learning,QV_learning
643,49,49,22,22
644,24,24,21,57
645,28,28,32,22
646,44,44,6,22
647,43,43,10,39
648,30,30,8,26
649,40,40,34,38
650,18,18,46,4
651,57,57,47,19
652,22,22,26,13
653,10,10,40,42
654,51,51,8,20
655,32,32,38,22
656,50,50,6,10
657,46,46,41,52
658,45,45,52,22
659,33,33,27,29
660,42,42,57,9
661,39,39,33,13
662,33,33,25,44
663,36,36,21,18
664,7,7,20,17
665,44,44,24,36
666,27,27,10,9
667,34,34,12,18
668,6,6,40,12
669,41,41,18,33
670,8,8,27,37
671,24,24,33,36
672,38,38,45,8
673,42,42,10,9
674,28,28,11,49
675,6,6,11,49
676,41,41,43,38
677,12,12,40,10
678,41,41,55,9
679,30,30,48,43
680,27,27,16,12
681,40,40,21,16
682,12,12,35,17
683,53,53,7,41
684,38,38,16,19
685,41,41,7,41
686,35,35,5,18
687,26,26,57,52
688,46,46,4,42
689,45,45,13,20
690,41,41,21,13
691,22,22,60,15
692,48,48,35,18
693,20,20,49,21
694,25,25,36,4
695,33,33,43,25
696,31,31,21,28
697,42,42,40,34
698,47,47,35,22
699,14,14,33,37
700,11,11,15,7
701,24,24,30,27
702,42,42,19,16
703,12,12,36,29
704,41,41,38,38
705,10,10,14,32
706,28,28,43,10
707,45,45,28,32
708,49,49,16,23
709,18,18,54,35
710,26,26,21,25
711,7,7,26,25
712,14,14,49,43
713,37,37,5,37
714,35,35,21,7
715,8,8,43,49
716,47,47,42,35
717,27,27,19,6
718,53,53,25,35
719,43,43,57,43
720,29,29,10,47
721,59,59,35,11
722,12,12,12,18
723,22,22,12,18
724,25,25,43,14
725,9,9,11,24
726,50,50,34,30
727,32,32,13,39
728,86,86,39,43
729,8,8,51,52
730,27,27,49,20
731,29,29,10,10
732,25,25,25,19
733,35,35,19,15
734,45,45,61,14
735,42,42,46,49
736,30,30,15,44
737,46,46,37,4
738,32,32,56,8
739,43,43,17,37
740,26,26,24,5
741,35,35,47,40
742,35,35,35,16
743,26,26,5,15
744,29,29,12,14
745,35,35,28,39
746,7,7,69,19
747,38,38,15,47
748,41,41,19,34
749,33,33,18,32
750,28,28,37,12
