step,SARSA,Q_learning,double_Q_learning,QV_learning,stdSarsa,stdQ,stddoubleQ,stdQV
177,89.5712,88.138,88.8032,93.2864177,17.6235,12.1768,16.4998,4.19837
178,90.538,88.264,86.5664,92.7712178,17.8162,11.7521,22.3555,4.79282
179,89.6972,88.2912,84.0336,93.1592179,17.7275,12.8675,24.9584,3.97161
180,90.8218,88.5848,83.6524,93.1956180,16.0366,11.6709,28.6728,4.52332
181,90.7088,88.2612,86.1412,93.142181,15.3587,11.0874,21.1149,5.36694
182,90.9976,88.4476,84.3,92.8264182,15.2012,11.2382,26.7436,4.97323
183,90.149,88.9912,85.8704,93.198183,16.9445,11.2394,22.6839,4.14678
184,90.1828,87.968,84.798,92.9544184,16.797,12.7268,26.0292,5.13431
185,88.9456,88.812,84.9356,93.0384185,19.3292,10.3038,24.9504,4.03564
186,90.798,88.2392,86.7948,93.3236186,15.2736,12.0748,20.751,3.95258
187,89.2778,88.4236,86.4384,93.0964187,18.4419,12.3508,22.7024,3.95392
188,91.316,88.7672,85.7632,93.1488188,15.5873,10.3168,23.4323,3.99743
189,89.1606,89.136,85.5316,93.1364189,19.2852,11.1159,26.677,3.67581
190,90.6288,88.02,87.9348,93.4304190,16.1904,11.94,20.6165,3.95778
191,90.5946,88.7128,86.0132,93.2224191,17.684,10.0061,26.7213,3.84433
192,90.6314,89.6576,86.9788,93.1428192,15.1042,8.49924,22.2955,3.61001
193,91.7466,88.6304,85.382,93.3156193,14.7075,11.2892,21.7462,3.7332
194,91.0406,89.4416,86.5664,93.1696194,13.9235,9.48697,24.2671,3.96836
195,90.0176,88.818,87.3916,93.2492195,17.5673,11.2486,20.7341,4.02199
196,90.768,89.7236,85.1468,93.3652196,15.3623,9.39843,23.7774,3.83785
197,91.5944,89.158,86.8636,93.1708197,15.5468,9.94064,20.4991,4.00897
198,90.7992,88.7744,87.374,93.4052198,16.3566,9.79929,18.1596,3.48752
199,92.0694,88.4392,85.9844,93.1636199,14.1035,10.7957,24.6736,3.79815
200,92.2654,89.0576,87.0552,93.4324200,11.9795,10.6066,20.5201,4.22785
201,91.6634,89.3504,85.5612,93.3708201,14.8705,10.1323,22.8578,3.71197
202,89.9238,88.2212,86.8108,93.2744202,17.5794,11.2918,20.5468,3.66747
203,90.35,89.0248,87.8944,92.9948203,17.2175,9.85155,19.0999,4.23916
204,90.9534,88.5932,86.4888,93.598204,15.8499,11.041,21.8369,3.45627
205,89.6328,88.7712,87.3344,93.1364205,20.11,11.3014,20.3786,4.50247
206,91.5924,89.4936,85.2632,93.5024206,13.5959,8.87165,25.2252,3.53416
207,90.5058,89.1756,86.0032,93.0572207,15.5312,10.4178,22.7098,4.40182
208,90.9572,89.3648,84.9824,93.5232208,14.2018,9.99123,24.7335,3.46632
209,90.6318,89.9156,87.4988,93.654209,17.0048,8.65089,18.2079,3.69664
210,91.3126,88.4256,85.5084,93.068210,15.2285,11.2094,22.9003,4.11114
211,90.8518,89.9056,87.16,93.4004211,15.8524,9.72314,21.3183,3.82665
212,91.5142,90.036,86.3344,93.5344212,14.4811,8.03724,25.5422,3.69698
213,91.6234,89.6376,87.4952,93.3332213,13.6628,9.30916,19.7901,4.12795
214,90.3998,89.8872,87.6344,93.3284214,17.9452,8.27539,21.1364,3.57463
215,91.253,89.0464,88.4672,93.2192215,14.8058,9.65598,16.1218,3.63696
216,91.626,88.8424,86.8736,93.684216,13.53,10.9224,18.6582,3.62379
217,90.9414,89.6628,87.5148,93.3132217,16.1224,9.0783,20.4863,4.50005
218,91.045,89.7128,87.8596,93.2224218,15.1501,8.94649,18.2071,3.61996
219,90.599,90.1384,88.0696,93.5012219,14.4839,8.60969,19.3863,3.83146
220,90.5794,90.1104,86.804,93.5852220,17.4216,9.64192,18.5609,4.06482
221,92.9214,89.8364,87.3808,93.4196221,11.7105,10.1014,19.4892,3.67572
222,89.4056,90.2548,88.3348,93.2684222,18.3052,7.92013,20.8877,3.76354
223,91.5146,89.9652,87.6484,93.1296223,15.8566,7.94502,17.3138,3.62838
224,91.5252,89.804,87.6736,93.3084224,16.5674,7.99703,18.4458,3.56609
225,91.3752,90.2112,85.6568,93.108225,15.1158,7.45579,20.4102,4.37524
226,92.5254,89.9412,87.2516,93.3516226,11.7652,8.125,19.0839,4.29455
227,91.9206,90.1432,86.4736,93.3232227,15.1879,8.35854,21.0103,3.83663
228,91.29,90.3364,87.148,93.6056228,14.3251,7.83406,17.8733,3.45142
229,90.5636,90.4528,87.6412,93.4508229,17.7635,7.32014,15.7824,3.55873
230,90.4006,90.1488,86.9332,93.1544230,17.3266,8.04732,18.3699,4.09402
231,91.5776,90.3284,86.8676,93.274231,14.3907,7.4669,18.746,3.85547
232,91.9794,90.3772,87.4228,93.254232,12.7159,7.80179,19.6066,3.72398
233,91.6378,89.9788,87.0872,93.6124233,15.1456,7.96148,20.4354,3.3552
234,92.7402,90.0532,87.7984,93.2224234,11.2183,8.24901,17.3511,3.85389
235,91.8988,90.2344,86.6992,93.4084235,13.6851,7.72762,20.8259,3.67262
236,92.275,90.1844,87.8516,93.2372236,12.8191,7.62161,17.407,3.91695
237,92.7876,90.3012,86.5452,93.4396237,12.5939,7.90559,23.0643,3.94423
238,92.886,89.6716,86.3032,93.3824238,13.4273,8.66099,20.6026,3.40832
239,92.2038,90.826,87.294,93.0424239,12.6884,6.75145,19.6259,3.70992
240,92.0066,90.5892,86.1464,93.0248240,13.3524,6.86291,20.8702,3.80116
241,91.9742,89.8984,87.1876,93.3644241,16.2126,8.37181,18.3077,3.68006
242,90.9664,90.3636,85.7256,93.5452242,15.7748,7.58271,19.8163,3.53046
243,91.6416,90.2116,87.0584,93.3372243,14.5421,8.27927,18.3604,3.60879
244,92.3506,90.4556,85.7532,93.6076244,13.7338,7.98457,19.8484,3.37457
245,91.6158,90.7172,85.2984,93.3816245,13.5127,7.14748,24.0786,3.44643
