step,SARSA,Q_learning,double_Q_learning,QV_learning,stdSARSA,stdQ,stddoubleQ,stdQV
248,68.572,96.714,91.2644,97.4908248,490.588,4.37069,21.9363,1.0105
249,76.088,96.4892,92.4608,97.5016249,288.468,4.82153,15.9366,1.48413
250,89.6386,96.8512,92.0336,97.532250,29.4531,3.54632,15.7226,1.05011
251,89.0822,96.7416,92.216,97.5912251,35.7366,3.74039,17.3109,1.4448
252,84.06,96.7888,92.1476,97.5012252,101.359,3.33177,18.7189,1.93008
253,67.7186,97.0176,90.3804,97.4124253,475.973,3.31856,21.6474,1.94445
254,82.8228,96.7896,92.4312,97.4288254,80.8482,3.72976,17.4768,1.02698
255,90.2822,96.8888,90.7748,97.5508255,26.1806,3.5943,22.9935,1.08372
256,88.3858,96.7576,92.0704,97.4416256,35.3142,3.46876,16.5731,1.41156
257,90.1954,96.948,91.3904,97.4672257,24.0375,3.55782,20.6149,1.28871
258,71.8334,96.8696,91.0572,97.4024258,384.343,3.88146,18.3888,1.80701
259,91.6516,96.7884,92.8044,97.496259,24.2193,3.87074,14.9826,1.07125
260,91.881,96.938,91.622,97.3448260,21.9262,3.62733,18.1828,1.40866
261,85.8034,97.0392,93.7428,97.4664261,68.5628,3.26373,14.2771,1.05599
262,77.4946,96.95,92.848,97.4828262,199.363,3.14724,16.658,1.01372
263,88.7026,96.9032,93.1264,97.4208263,60.1467,3.3945,13.7735,1.24382
264,86.0116,96.8012,93.9492,97.4452264,90.4236,4.42951,12.9144,1.32349
265,90.371,96.8512,92.7988,97.5092265,29.9239,3.64754,14.912,1.0329
266,89.4232,97.138,92.9072,97.4908266,46.868,2.75575,15.3087,1.71422
267,90.352,97.038,92.6216,97.4632267,26.3311,3.18194,15.6693,1.05755
268,69.4732,96.7748,93.4032,97.4692268,489.58,3.85733,14.6517,1.07678
269,88.92,97.148,91.5072,97.5952269,43.4824,2.49576,18.029,1.13157
270,79.0648,97.0304,93.1364,97.5788270,208.587,2.77501,15.7321,1.10495
271,76.0422,97.0792,91.3668,97.486271,238.792,2.66166,27.8324,1.65893
272,86.4124,97.1408,93.4828,97.4492272,94.2891,2.78125,14.082,1.13845
273,82.799,97.1692,93.2272,97.4744273,110.212,2.58388,14.6291,1.51205
274,85.8284,96.8728,92.8564,97.4572274,106.149,3.701,15.1856,1.02044
275,90.128,97.1936,93.0488,97.5584275,36.0378,2.76983,15.8799,1.08194
276,85.7136,97.1924,93.4372,97.4952276,86.0506,2.89671,11.9263,1.07147
277,64.4686,97.0736,94.2172,97.5836277,557.691,2.89367,12.5544,1.02378
278,90.4196,96.8164,93.5884,97.558278,27.1155,3.39519,13.7563,1.06045
279,79.9546,96.9056,93.1568,97.5024279,160.436,2.85311,15.2212,1.11574
280,88.95,97.1908,92.0732,97.4464280,48.6157,2.43875,17.0813,1.06422
281,92.5356,97.1856,92.358,97.5612281,17.7754,3.12404,18.979,1.04775
282,88.7476,97.0972,92.9908,97.4476282,50.4079,3.12485,14.9829,1.10434
283,89.8116,97.1504,92.988,97.3524283,34.2718,2.85011,17.0934,3.14453
284,90.2706,97.1228,94.1872,97.5248284,39.5473,2.51171,10.807,1.19182
285,85.6754,96.8732,93.3564,97.5524285,74.9591,3.01651,14.1381,1.01393
286,80.8836,97.154,92.2252,97.5268286,211.515,2.31925,17.1839,1.11721
287,85.5046,97.23,92.7144,97.4884287,123.247,2.50091,17.6964,1.08515
288,86.6686,97.2568,94.492,97.5492288,95.0978,2.0578,9.85307,1.32335
289,89.8766,96.9916,94.5824,97.37289,35.7589,3.0341,10.2826,1.74699
290,90.6896,97.2876,95.4144,97.508290,54.4814,1.9251,8.32922,1.11334
291,88.4608,97.3572,94.0084,97.5216291,40.4973,2.73829,12.3294,1.27697
292,88.7652,97.2496,92.8016,97.446292,40.6635,2.87663,16.8074,2.50508
293,88.398,97.1356,91.7452,97.4964293,41.5614,2.83548,21.7614,1.01622
294,90.4532,97.3396,93.6816,97.3956294,30.6424,2.41713,13.0767,1.50015
295,91.9928,97.2832,93.728,97.5348295,22.4759,2.98609,14.8696,1.11957
296,91.4172,97.1384,93.6332,97.53296,23.1253,2.50725,13.9003,1.0223
297,89.3908,97.1,93.6256,97.5916297,41.8526,3.5871,16.0149,1.37841
298,90.4572,97.2012,93.3176,97.3956298,46.4893,2.34321,16.0731,1.23886
299,91.3342,97.5132,94.3172,97.4476299,27.4012,1.54994,11.0579,1.9176
300,90.6202,97.2648,93.1752,97.4908300,27.8176,2.42668,13.6847,1.19552
301,92.6322,97.3568,94.1208,97.53301,20.7058,2.19848,13.9402,0.964977
302,92.046,97.2696,93.6212,97.5504302,19.0522,2.6149,13.1268,1.10784
303,90.297,97.0224,94.436,97.5296303,36.9757,3.38958,10.5506,1.11046
304,81.5174,97.33,94.4196,97.5176304,216.976,1.8765,11.5238,1.14092
305,90.9544,97.2848,94.7004,97.5496305,32.8065,2.18815,10.5205,1.07875
306,91.076,97.1232,93.4308,97.4344306,30.4915,3.02499,14.1077,1.07945
307,88.9026,97.0836,94.1828,97.4416307,60.9009,3.01648,11.9825,1.30195
308,90.2926,97.2876,93.5464,97.5636308,50.4809,2.0457,13.6535,1.11256
309,51.7604,97.176,94.3916,97.5344309,622.269,2.32687,10.9718,0.98599
310,85.9678,97.5492,93.7448,97.4604310,127.545,1.37482,14.0965,1.28988
311,90.199,97.4432,93.652,97.5596311,30.6651,1.69721,15.192,1.03779
312,91.2194,97.1796,94.05,97.5304312,22.5886,2.61601,12.7643,1.17124
313,88.0912,97.4088,93.8496,97.5952313,62.1768,1.90131,13.5021,1.08442
314,90.888,97.2212,95.1276,97.5292314,41.1651,2.27145,9.40542,1.03608
315,92.2532,97.3676,93.9248,97.5188315,25.6724,1.80869,12.7492,1.10796
316,76.4778,97.4556,93.7628,97.3576316,334.041,1.68096,11.8473,1.91302
317,89.547,97.3368,93.56,97.506317,37.2016,2.30696,14.4066,1.4759
318,92.5842,97.2908,94.41,97.4712318,18.8006,2.21818,11.5362,1.05711
319,91.8072,97.4352,94.4976,97.5876319,28.8131,2.026,10.0861,1.04265
320,92.497,97.4212,94.5516,97.5084320,32.3641,2.00793,11.126,1.08797
321,92.1892,97.3884,94.8236,97.51321,27.2985,1.93955,10.9037,1.06462
322,93.0042,97.4724,94.9488,97.4632322,19.4694,1.81838,9.43122,1.02474
323,90.021,97.3676,94.1676,97.5164323,35.7334,1.92773,12.0783,1.16398
324,92.713,97.2684,95.1448,97.5372324,31.4608,1.99191,10.2311,1.23683
325,88.7204,97.3892,94.206,97.4876325,54.6686,1.51778,11.5635,1.11574
326,91.852,97.4572,94.4252,97.4772326,36.2619,1.58997,10.7027,1.52033
327,84.1228,97.474,95.07,97.3828327,86.6652,1.73488,9.71499,1.58678
328,87.1538,97.2684,93.9496,97.3984328,111.668,2.03789,10.9898,1.22885
329,91.7118,97.2264,94.71,97.5116329,41.5146,2.64038,11.5535,1.02549
330,87.464,97.48,94.7264,97.4584330,53.7605,1.62697,9.61921,1.74419
331,89.0682,97.342,94.182,97.4216331,43.1792,2.25053,11.3573,1.00813
332,90.2786,97.3584,94.5636,97.5516332,44.5195,1.72595,10.5292,1.01444
